City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,63.57,overcast clouds,-30.1811,-50.2056,Hotel Castelo
1,Dingle,PH,75.97,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
2,Kismayo,SO,77.36,few clouds,-0.3582,42.5454,Agan-Hotel
3,Castro,BR,65.89,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
6,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,Villa Enata
7,Broken Hill,AU,61.93,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
12,Katsuura,JP,69.87,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
13,Hollins,US,67.08,overcast clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
18,Port Augusta,AU,64.6,moderate rain,-32.5,137.7667,Majestic Oasis Apartments
19,Rikitea,PF,68.97,clear sky,-23.1203,-134.9692,People ThankYou
20,Saucillo,MX,70.88,broken clouds,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
21,Cabo San Lucas,MX,86.18,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
23,Erzin,TR,72.21,broken clouds,36.9559,36.2,Artemis Otel
25,Meppel,NL,60.01,overcast clouds,52.6958,6.1944,De Poort Van Drenthe
26,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
28,Faanui,PF,78.12,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
33,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
35,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Pousada Camboinha
37,Rawah,IQ,79.2,few clouds,34.4816,41.9093,عمر
40,Wanning,CN,76.12,overcast clouds,18.8003,110.3967,Paradise Hotel
41,Santa Rosalia,MX,77.63,few clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
42,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
46,Lagoa,PT,61.79,light rain,39.05,-27.9833,Casa Das Faias
50,Aljezur,PT,66.25,clear sky,37.3191,-8.8033,Amazigh Hostel
52,Mogadishu,SO,77.83,overcast clouds,2.0371,45.3438,Hotel Juba
53,Biscarrosse,FR,66.15,clear sky,44.3945,-1.1672,Saint Hubert
55,Chechat,IN,69.15,clear sky,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
56,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
58,Gelibolu,TR,60.33,scattered clouds,40.4103,26.6708,Oya Hotel
59,Manokwari,ID,78.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
60,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
63,Port Alfred,ZA,60.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
64,Impfondo,CG,72.18,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
66,Jieshi,CN,70.5,light rain,22.8134,115.8257,Yuehai Hotel
67,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
69,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Cititel Penang
73,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
74,Necochea,AR,61.81,clear sky,-38.5473,-58.7368,dyd -mar Hotel
75,Marawi,PH,69.85,overcast clouds,7.9986,124.2928,Derogongan Residence
77,Visakhapatnam,IN,78.69,mist,17.69,83.2093,Best Western Ramachandra Hotel
