City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,63.57,92,100,20.98,overcast clouds
1,Dingle,PH,10.9995,122.6711,75.97,90,100,8.86,overcast clouds
2,Kismayo,SO,-0.3582,42.5454,77.36,83,11,13.0,few clouds
3,Castro,BR,-24.7911,-50.0119,65.89,86,100,5.46,overcast clouds
4,Tiksi,RU,71.6872,128.8694,12.07,87,100,15.12,overcast clouds
5,Praia,CV,14.9215,-23.5087,79.34,73,0,18.41,clear sky
6,Atuona,PF,-9.8,-139.0333,76.89,75,28,14.76,scattered clouds
7,Broken Hill,AU,-31.95,141.4333,61.93,46,100,13.98,overcast clouds
8,Yellowknife,CA,62.456,-114.3525,45.12,70,20,13.8,few clouds
9,Upernavik,GL,72.7868,-56.1549,37.83,96,100,30.91,light rain
10,Hobart,AU,-42.8794,147.3294,46.26,92,0,8.05,clear sky
11,Codrington,AU,-38.2667,141.9667,45.72,80,100,6.04,overcast clouds
12,Katsuura,JP,35.1333,140.3,69.87,87,100,6.35,light rain
13,Hollins,US,37.3413,-79.9431,67.08,55,97,8.01,overcast clouds
14,Norman Wells,CA,65.282,-126.8329,37.44,81,75,6.91,broken clouds
15,Adrar,MR,20.5022,-10.0711,89.33,9,30,11.16,scattered clouds
16,Beian,NO,63.6559,9.5683,45.01,93,75,4.61,broken clouds
17,Ushuaia,AR,-54.8,-68.3,51.42,66,20,23.02,few clouds
18,Port Augusta,AU,-32.5,137.7667,64.6,55,100,16.55,moderate rain
19,Rikitea,PF,-23.1203,-134.9692,68.97,61,4,18.3,clear sky
20,Saucillo,MX,28.0167,-105.2833,70.88,60,81,16.35,broken clouds
21,Cabo San Lucas,MX,22.8909,-109.9124,86.18,66,43,5.08,scattered clouds
22,Andra,RU,62.5147,65.8878,40.21,83,100,7.14,overcast clouds
23,Erzin,TR,36.9559,36.2,72.21,60,80,1.83,broken clouds
24,Mataura,NZ,-46.1927,168.8643,43.88,95,98,7.38,overcast clouds
25,Meppel,NL,52.6958,6.1944,60.01,95,100,6.96,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,37,8.23,scattered clouds
27,Iqaluit,CA,63.7506,-68.5145,29.93,86,100,16.11,light snow
28,Faanui,PF,-16.4833,-151.75,78.12,78,14,17.96,few clouds
29,Fairbanks,US,64.8378,-147.7164,39.81,88,68,0.69,broken clouds
30,Souillac,MU,-20.5167,57.5167,70.18,78,20,8.05,few clouds
31,Bluff,NZ,-46.6,168.3333,47.08,65,80,20.98,broken clouds
32,Albany,US,42.6001,-73.9662,56.95,93,100,5.91,overcast clouds
33,Kavieng,PG,-2.5744,150.7967,82.17,78,99,14.81,light rain
34,Kodiak,US,57.79,-152.4072,46.54,83,23,6.67,few clouds
35,Cabedelo,BR,-6.9811,-34.8339,81.27,76,83,14.65,broken clouds
36,Imeni Poliny Osipenko,RU,52.4201,136.4853,28.08,71,26,4.0,scattered clouds
37,Rawah,IQ,34.4816,41.9093,79.2,20,13,8.48,few clouds
38,Luan,CH,46.3592,6.9759,54.37,79,37,3.02,scattered clouds
39,Kushnarenkovo,RU,55.105,55.3508,40.64,81,70,10.45,broken clouds
40,Wanning,CN,18.8003,110.3967,76.12,60,100,13.65,overcast clouds
41,Santa Rosalia,MX,27.3167,-112.2833,77.63,56,16,11.74,few clouds
42,Cayenne,GF,4.9333,-52.3333,86.04,66,0,8.05,clear sky
43,Severo-Kurilsk,RU,50.6789,156.125,44.46,88,100,19.8,light rain
44,Vuktyl,RU,63.8567,57.3094,43.3,92,100,11.1,overcast clouds
45,Batemans Bay,AU,-35.7167,150.1833,57.09,77,96,2.8,overcast clouds
46,Lagoa,PT,39.05,-27.9833,61.79,61,100,31.05,light rain
47,Hovd,MN,48.0056,91.6419,40.89,35,99,6.85,overcast clouds
48,Finnsnes,NO,69.2296,17.9811,36.21,98,100,4.97,light rain
49,Haines Junction,CA,60.7522,-137.5108,53.55,50,26,4.61,scattered clouds
50,Aljezur,PT,37.3191,-8.8033,66.25,88,2,6.33,clear sky
51,New Norfolk,AU,-42.7826,147.0587,45.9,88,97,3.15,overcast clouds
52,Mogadishu,SO,2.0371,45.3438,77.83,83,100,11.16,overcast clouds
53,Biscarrosse,FR,44.3945,-1.1672,66.15,94,0,3.44,clear sky
54,Busselton,AU,-33.65,115.3333,48.92,90,1,5.01,clear sky
55,Chechat,IN,24.7667,75.8833,69.15,60,0,1.99,clear sky
56,Port Hardy,CA,50.6996,-127.4199,62.78,67,75,8.05,broken clouds
57,Vagur,FO,61.4732,-6.8119,47.3,87,51,27.09,broken clouds
58,Gelibolu,TR,40.4103,26.6708,60.33,73,29,20.47,scattered clouds
59,Manokwari,ID,-0.8667,134.0833,78.8,77,100,4.29,overcast clouds
60,Vila Velha,BR,-20.3297,-40.2925,78.75,83,20,14.97,few clouds
61,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,100,100,2.3,mist
62,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,100,3.44,overcast clouds
63,Port Alfred,ZA,-33.5906,26.891,60.19,92,33,1.01,scattered clouds
64,Impfondo,CG,1.6381,18.0667,72.18,93,100,2.51,overcast clouds
65,Mitchell,US,43.7094,-98.0298,42.75,34,39,5.01,scattered clouds
66,Jieshi,CN,22.8134,115.8257,70.5,70,100,16.78,light rain
67,Avarua,CK,-21.2078,-159.775,77.05,65,75,18.41,broken clouds
68,Ribeira Grande,PT,38.5167,-28.7,59.4,63,40,19.57,scattered clouds
69,Kapaa,US,22.0752,-159.319,82.47,70,16,5.01,few clouds
70,Georgetown,MY,5.4112,100.3354,81.23,80,20,0.0,few clouds
71,Jamestown,US,42.097,-79.2353,43.52,67,95,18.99,overcast clouds
72,Khatanga,RU,71.9667,102.5,22.12,97,100,6.58,light snow
73,Cape Town,ZA,-33.9258,18.4232,64.11,81,0,11.5,clear sky
74,Necochea,AR,-38.5473,-58.7368,61.81,51,8,17.98,clear sky
75,Marawi,PH,7.9986,124.2928,69.85,94,100,1.81,overcast clouds
76,Punta Arenas,CL,-53.15,-70.9167,55.51,47,75,26.46,broken clouds
77,Visakhapatnam,IN,17.69,83.2093,78.69,94,75,2.3,mist
78,Nanortalik,GL,60.1432,-45.2371,36.36,73,100,8.32,overcast clouds
79,Visby,SE,57.6409,18.296,55.81,100,75,12.66,light rain
80,Sitka,US,57.0531,-135.33,55.29,88,20,0.0,few clouds
81,Vao,NC,-22.6667,167.4833,73.04,72,100,3.62,overcast clouds
82,Basco,PH,20.4487,121.9702,79.21,84,86,32.1,overcast clouds
83,Namie,JP,37.4833,141.0,57.72,91,100,14.99,overcast clouds
